name,content
4A002,Access resources required to scale at relatively low cost or for free by creating benefits for the resource owners that they cannot create alone
A003,Adapt offers to each market
A005,"Align interests of investors, the company top management team, and its owners"
A006,Allow resource owners to make money using your products and services
A007,"Apply big data analytics to produce insightful information about users, suppliers and customers to enhance shopping pattern analysis, improve customers experience, predict market trends, provide more secure online payment solutions, increase personalization, optimize and automate pricing, and provide dynamic customer service"
A008,"Apply digital technology to brand, market, sell, and service customers more cost effectively than competitors"
A009,"Apply processes that continuously improve the cybersecurity of the company as well as its offers, channels, and resources"
A010,"Apply processes that make offers easier to understand, produce and deliver"
A012,Arrange and deploy differently existing company resources
A014,"Assimilate and apply what companies do to scale early, rapidly and securely"
A015,Attain positions in cross border networks which provide access to privileged information
A017,Automate the existing processes that add the most benefits to customers and require the most human intervention
A018,"Automatically extract the information a user, customer, investor or stakeholder wants from a vast amount of information"
A020,Be responsible and accountable for creating and making visible the quantifiable benefits the company delivers its stakeholders
A022,"Build and deploy unique and difficult to imitate skills and capabilities to select, combine, and use the resource combinations that create and capture high company value"
A023,Build operational cross border capabilities early
A024,Build company wide capability to combine diverse resources and deploy them in a profitable way
A025,Build internet based capabilities to acquire and retain customers during the initial stages of company lifecycle
A026,Champion the opportunity with confidence
A027,Combine resources that make your company distinct to resource owners and pay for themselves
A028,Combine two or more resources to create value that exceeds the sum of the value created from each resource separately
A029,Combine company resources with those of other resource owners to create value that cannot be created by your company alone
A030,Communicate and demonstrate the importance the company places on the security of information acquired from and transferred between stakeholders
A031,"Concurrently improve the offers to your customers, investors and other resource owners as well as in the mechanisms required to scale"
A032,"Concurrently sell existing company offers, a compelling image of the company that will exist in the future, and the benefits of the unique information you collect"
A034,"Continuously improve individuals, operations and infrastructures to advance and deliver a portfolio of innovative offers "
A035,"Continuously improve the user interfaces and applications that directly influence the entirety of the customer experience including personalized content, quality messaging, and the delivery and returns process"
A036,Continuously improve value propositions based on results and feedback
A039,Continuously use customer feedback to support rapid offer iterations and enable co-creation of customized products and services 
A041,Define the ideal target customers profiles and engage them relentlessly
A042,"Constantly monitor customers buying habits and deliver offers that are convenient, cater to customer demands, are secure and offer excellent customer experience "
A043,Develop a compelling image of your future company and use it to convince investors to provide funding and resource owners to provide resources the company needs to scale
A045,"Develop and sell products and services that address a problem, job to be done or a need that is widespread, growing, important, urgent, and manifests itself in diverse ways"
A046,"Develop and sell offers that are hard to replicate, original, fit successful commercialization patterns, and ride an external trend"
A049,Develop value propositions for each investor and resource owner with three components: i) What benefits your company provides; ii) What you want in return; and iii) Why they should choose your offer instead of alternatives
A050,"Eliminate communication and coordination barriers with partners that are geographically separate, institutionally distant, and operate in different time zones"
A051,"Embed and operate in cross border markets: i) work with locals and help them succeed, ii) adjust offers to meet local needs, iii) target customer segments that are different than those targeted in home region, iv) use internet to market and promote offers to locals, and v) develop relationships with leaders in communities with information and resources that are important to succeeding in the cross border market"
A052,Enable locals to succeed because of new company
A053,Enable power users to help improve company offers using the internet
A054,Enable users to participate in the rapid development of company offers
A056,Enter a different geographical market by partnering with or purchasing local companies
A057,Expand brand coverage and eliminate intermediaries
A065,"Improve links, interactions and shared purpose with locals in each region the company operates"
A066,Incorporate cybersecurity into value propositions
A068,Invest to improve cybersecurity of the value chain
A075,"Make decisions on how to best deploy a combination of external and internal resources to create high value, not just decisions about the use of the resources the company owns, while complying with cultural, legal, regulatory, and other relevant norms"
A080,Provide a variety of complementary offers to each market
A081,"Offer investors higher returns, shorter time to payoffs and lower risks relative to other opportunities"
A082,Provide rewards that satisfy customer needs for recognition of their loyalty
A084,"Coordinate, evaluate and share knowledge between headquarters, cross border units and among the units themselves"
A086,Orchestrate a community comprised of the owners of the resources required to scale
A088,"Perpetuate a company scaling culture that includes high growth ambitions, delivering new benefits to customers, embedding in communities led by fast growth companies, keeping the company and its partners secure from cyberattacks, attracting investment, exceeding high standards, continuous improvement, experimentation, iteration, learning, and short feedback loops"
A090,Provide evidence that supports why stakeholders should believe the company will be able to deliver on its value propositions
A091,Provide returns that leave the most important resource owners better off than they would have if they had not contributed to the company
A095,Sell high quality offers at lower prices compared to competitors
A096,Sell online using a variety of online and offline promotional channels
A097,Sell offers that the target market perceives better than available alternatives
A098,Shape an ethical culture for all company activities
A099,"Simultaneously develop global learning capabilities, cross border flexibility, and global competitiveness"
A100,"Specify the kinds of innovation that are important for the company  (e.g., technological capabilities that are hard to imitate, business model innovation, rapid routine innovation), how the innovation will create value for stakeholders, and how the company will capture part of the value created as revenue"
A101,"To start a business, create an offer to solve a specific problem in a specific market segment, ensure that the offer fits the market, and validate that your business model is scalable and profitable"
A102,Strengthen cybersecurity attributes of offers compared to competitors
A105,Incorporate new technologies satisfying a popular trend to upgrade offers
A106,Use an end to end solution that links procurement directly with end customers to eliminate or reduce inventory and the number of intermediaries between the company and customers
A107,"Use physical brick and mortar stores to allow customers to test products, but use online channels for the bulk of sales"
A108,Use scientific and technological advances to develop innovative offers
A109,"Use trusted platforms which enable payments, refunds, logistics, data analytics and offer localization"
A111,"When you ask investors for money, clearly articulate: i) Why you need the money; ii) What amount you need; iii) What you are promising to return and under what conditions; iv) What you are going to do with the money to create returns for investors; and v) your governance model and the names and biographies of the people who sit on your Board of Directors and your Board of Advisors"
A113,"Offer benefits to key stakeholders that are important, differentiated from, and superior to, competing offers"
A114,"Develop value propositions that enhance your customers and suppliers outcomes, marketing strategies, and competitive advantages"
A115,"Incorporate elements of value into your value propositions to stakeholders that address four kinds of needs - functional, emotional, life changing, and social impact"
A116,"Integrate environmental, economic, and social aspects of value into the value propositions for your key stakeholders"
A117,"Deliver high value to customers before, during and after they use your offers"
A118,"Develop value propositions for employees that enhance employee satisfaction, psychological attachment, and behavioral commitment toward your company"
A119,"The required investment and the resulting most significant stakeholder benefits should be quantified in specific, measurable, attainable, relevant and time-bound terms"
A120,"Align value propositions for stakeholders in a way that they support, agree with and reinforce each other"
A121,"Develop value propositions for those who pay, not just those who benefit"
A122,Develop value propositions for key members of the value chain that align with  key members value propositions as well as improve the competence of the value chain
A123,Continuously find new and innovative ways to offer value to customers in existing and new markets
A124,Continuously create new markets and serve broader stakeholder needs
A125,Align investor value propositions with scaling master plan objectives so they are mutually reinforcing
A127,"Learn from value propositions of companies that have scaled early, rapidly and securely and use them to differentiate your company"
A128,"To align the value propositions for customers, investors, and resource owners, make explicit the benefits: (i) an investor gains by the presence of the customer and resource owner, (ii) a customer gains by the presence of the investor and the resource owner, and (iii) the resource owner gains by the presence of the customer and the investors"
A129,"To align value propositions for customers, investors, and resource owners, co-create a unique resource combination that did not previously exist"
A130,Align value propositions for all relevant stakeholders by developing an objective that benefits them all
A131,Track changes in stakeholders value propositions and use the information to realign the value propositions
A135,"Align communication with investors on company risks, opportunities, and economics for successful fundraising rounds"
A138,Implement a stakeholder centric approach to satisfy stakeholder expectations in all markets
A141,Collaborate with the company value chain to determine optimal offers that achieve customer fulfillment and enhance customer value
A142,Work with partners that can Implement flexible automation for small batch production to satisfy customers
A144,"Incorporate how high value created from selection, combination and deployment resource decisions will be distributed to resource owners into the scaling master plan"
A145,"Expand information about the company, its offers, its achievements, and its affiliations"
A147,Broaden company offers
A159,Develop an innovative product that adds more benefits to target customers relative to competitor products
A160,Provide investors with evidence that the proposed business model and target market can generate enough sales for the new company to be investable 
A161,Convince potential investors that the company offers investors a superior value proposition compared to competing companies
A162,"Understand who your potential investors are, what they want to know, and what investment opportunities they look for before pursuing a binding agreement"
A163,"Segment the capital market based on geographic, demographic, psychographic, and behavioral variables"
A164,Translate your message into values and priorities that the targeted investors can readily relate and understand 
A165,Provide investors a compelling short-term financial value proposition and a vision of favorable medium- and longer-term value propositions
A166,Develop investor value propositions describing the path to value creation in return for investors funds and confidence
A169,"Assess any new business opportunities by assigning the highest priority to developing a new product, expanding to a new market as the second priority, and maintaining market share as the third priority"
A171,Focus resources where the customer value proposition and the investor value proposition matches investors criteria
A176,Unbundle the value chain and the jobs to be done within it to outsource lower value tasks to freelance workers and perform higher value tasks internally
A178,Enable freelance workers to become world class service providers
A181,Implement business processes that are entirely managed by software and continuously improve with use
A182,Use data as the foundation for how the company operates and makes decisions
A187,Use data and artificial intelligence to personalize offers to consumers
A188,"Sell in new domains where the company assets, capabilities and data can be easily moved to create value"
A196,Require directors to retain a portion of their compensation as equity
A199,"Enhance communication between investors, the top management team and the board of directors to increase returns to stakeholders and mitigate risks "
A205,Establish cross border partnerships with third party service providers to serve customers regionally and globally
A207,"Deploy digital technology to simplify offers and overcome time, geographical and language barriers for customers"
A209,Deploy efficient  ecommerce technologies and automation to reduce company costs and lower prices of offers 
A210,"Enable employees, customers, users, investors and others to automatically extract information from company data for the purpose of decreasing costs and adding value to stakeholders "
A211,"Facilitate customer brand conversation prior to production, through social networks and forums to learn new demands and trends and enable co-creation of new products and services"
A213,Adapt value propositions to changes in customer segments
A218,"Introduce new offers often, monitor changes in sales closely, and remove offers that do not sell quickly"
A220,"Build a community around  company brand, products and services, assemble community feedback and adapt"
A221,Create market specific brands and offers that resonate with local cultures
A232,Deploy ecommerce resources to make company offers always accessible to everyone everywhere
A233,Deploy ecommerce resources to reduce costs and improve customer experience
A235,Build a community where each member supports the others rather than building many separate businesses 
A236,"Apply ecommerce to provide customers with buying options that are quick, convenient, and user-friendly "
A237,"Help customers save time and money by applying ecommerce to enable them to search products and services easily, make purchases and transfer money online"
A238,Provide customers an online catalog with detailed descriptions of offered products and services that helps them make purchasing decisions 
A239,"Attract traffic and new customers by targeting and retargeting users from search engines, referrals, adds and social media"
A240,"Engage customers to produce testimonials, reviews and ratings that help new customers to make purchasing decisions with knowledge of other customers experiences"
A241,Provide vendors and suppliers with the real-time analytics on views and sales required to boost their sales and profits 
A242,"Use a cross-channel customer-centric approach to provide a seamless, unified, and contextual customer experience, irrespective of device, channel, or platform of interaction"
A243,Make each channel a seamless brand extension to enable the customer to pick up the conversation on any channel in seamless and unified experiences
A244,"Constantly increase average order value through discounted bundles, enable upsell on check out, set a free delivery threshold, offer cash backs, enhance personalized recommendations, and create loyalty programs based on spending tiers"
A245,Increase order fulfillment and delivery capacity through partnering with third party service providers and acquiring drop shipping facilities 
A246,"Establish trust and positive rapport with your customers that leads to long-term, mutually beneficial business relationships "
A247,"Understand your customers, investors and other stakeholders business models, motivations, and industries "
A248,"Understand your customers, investors and other stakeholders social and cultural norms, personal accomplishments, and business communication styles"
A249,Always think from your customers perspective (organizationally and personally)
A250,Always search for a win-win scenario
A251,"Give your customers, investors, and stakeholders a good reason to like and trust you and your company"
A253,Adjust your mood to match your customers moods and work to find common ground to build familiarity
A254,"Show unselfish behaviour towards customers, investors and other stakeholders with whom you interact"
A255,"Actively shape customers, investors and stakeholders expectations about the company and its products"
A256,"Listen to your customers, take their feedback seriously, and adjust operations as needed"
A257,Customize ideal next steps to coordinate activities between new company and customer 
A258,"Establish a well-rehearsed, concise, and irresistible way to communicate the benefits and differentiation of your company's product and service offers, how products and services can be tailored to customers requirements, and how offers contribute to customers achieving their organizational and personal goals"
A260,"To embody behaviours you wish others to adopt, dedicate a portion of each day to grow customer base and actively search for new opportunities, focus efforts and conversations on how the company is going to create and deliver value to new and existing customers, craft irresistible customer value propositions that you and your salespeople can use to attract new customers, and set specific, measurable, attainable, relevant, and timely objectives (SMART) that align company, customer, investor and partner interests and skills"
A262,"Recognize and drive achievements through public display of rewards, status and praise"
A266,"To encourage development of cultural norms which will enhance company performance, view negative events as opportunities to develop capabilities; reward peer collaboration and support; foster behaviour which helps to increase optimism, overcome adversity, and increase resiliency to failure; reward independent initiative to improve one’s own environment to enhance performance; and maintain a positive outlook on sales expectations to acquire new customers"
A267,Design internal processes to increase information transfer and reduce job dissatisfaction 
A269,Increase access to new networks and customers for salespeople to connect with and sell to
A270,"Increase access to up-to-date information about root causes of customer problems and needs; competitors products, value propositions and strategies; customer types and their business needs, buying logic, solution strategies; and markets and institutional environments"
A271,Instill a sense of purpose by pursuing a compelling vision for the company in the future
A272,Align work environment and motivational mechanisms with cultural norms of people working in it
A277,"Train salespeople to absorb actionable market information, understand customers and competitors business models; craft irresistible value propositions; communicate customer value; identify high-value customers; increase situational awareness; use supportive technology; learn from personal and team successes and failures; and adapt to dynamic selling situations (think on your feet)"
A278,"To avoid sources of salespeople dissatisfaction with their jobs, clarify salesperson role and expectations; eliminate conflicting role tasks; incentivize salespeople sufficiently; ensure strong leadership is in place; train and support; ensure role on team is a good fit to personality type and cultural imprint of person filling it"
A279,"Use artificial intelligence to turn vast amounts of data and information into high value for customers, investors, users, and other stakeholders "
A280,"Digitize as much of your company as you can to create value for customers, reduce costs, and increase security"
A281,Brand the company and build the brand into one that has a strong market presence
A282,"Convince non-paying users to contribute to the development of the company products, channels, brand, and sources of competitive advantage "
A284,Deliver better performance on the metrics that customers care about
A285,Create a unique brand identity to differentiate from the competition
A286,Establish partnerships that increase the demand for products that complement the company product
A288,"Showcase the extent to which the company's scaling-orientation has produced tangible results for its customers, investors, stakeholders and communities"
